"month","Class","n","Class.name"
Feb 2021,4722,47,"Retail sale of meat and meat products in specialised stores"
Feb 2021,4723,26,"Retail sale of fish, crustaceans and molluscs in specialised stores"
Feb 2021,4724,133,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
Feb 2021,4725,55,"Retail sale of beverages in specialised stores"
Feb 2021,4726,16,"Retail sale of tobacco products in specialised stores"
Feb 2021,4729,147,"Other retail sale of food in specialised stores"
Feb 2021,4730,9,"Retail sale of automotive fuel in specialised stores"
Feb 2021,4741,91,"Retail sale of computers, peripheral units and software in specialised stores"
Feb 2021,4742,95,"Retail sale of telecommunications equipment in specialised stores"
Feb 2021,4743,13,"Retail sale of audio and video equipment in specialised stores"
Feb 2021,4751,53,"Retail sale of textiles in specialised stores"
Feb 2021,4752,27,"Retail sale of hardware, paints and glass in specialised stores"
Feb 2021,4753,46,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
Feb 2021,4754,35,"Retail sale of electrical household appliances in specialised stores"
Feb 2021,4759,195,"Retail sale of furniture, lighting equipment and other household articles in specialised stores"
Feb 2021,4761,43,"Retail sale of books in specialised stores"
Feb 2021,4762,18,"Retail sale of newspapers and stationery in specialised stores"
Feb 2021,4763,20,"Retail sale of music and video recordings in specialised stores"
Feb 2021,4764,251,"Retail sale of sporting equipment in specialised stores"
Feb 2021,4765,103,"Retail sale of games and toys in specialised stores"
Feb 2021,4771,702,"Retail sale of clothing in specialised stores"
Feb 2021,4772,46,"Retail sale of footwear and leather goods in specialised stores"
Feb 2021,4773,41,"Dispensing chemist in specialised stores"
Feb 2021,4774,44,"Retail sale of medical and orthopaedic goods in specialised stores"
Feb 2021,4775,168,"Retail sale of cosmetic and toilet articles in specialised stores"
Feb 2021,4776,160,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
Feb 2021,4777,106,"Retail sale of watches and jewellery in specialised stores"
Feb 2021,4778,207,"Other retail sale of new goods in specialised stores"
Feb 2021,4779,57,"Retail sale of second-hand goods in stores"
Feb 2021,4781,47,"Retail sale via stalls and markets of food, beverages and tobacco products"
Feb 2021,4782,78,"Retail sale via stalls and markets of textiles, clothing and footwear"
Feb 2021,4789,70,"Retail sale via stalls and markets of other goods"
Feb 2021,4791,4145,"Retail sale via mail order houses or via Internet"
Feb 2021,4799,1204,"Other retail sale not in stores, stalls or markets"
Mar 2021,4511,701,"Sale of cars and light motor vehicles"
Mar 2021,4519,174,"Sale of other motor vehicles"
Mar 2021,4520,618,"Maintenance and repair of motor vehicles"
Mar 2021,4531,75,"Wholesale trade of motor vehicle parts and accessories"
Mar 2021,4532,162,"Retail trade of motor vehicle parts and accessories"
Mar 2021,4540,52,"Sale, maintenance and repair of motorcycles and related parts and accessories"
Mar 2021,4611,41,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
Mar 2021,4612,19,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
Mar 2021,4613,44,"Agents involved in the sale of timber and building materials"
Mar 2021,4614,32,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
Mar 2021,4615,127,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
Mar 2021,4616,266,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
Mar 2021,4617,99,"Agents involved in the sale of food, beverages and tobacco"
Mar 2021,4618,143,"Agents specialised in the sale of other particular products"
Mar 2021,4619,338,"Agents involved in the sale of a variety of goods"
Mar 2021,4621,15,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
Mar 2021,4622,34,"Wholesale of flowers and plants"
Mar 2021,4623,11,"Wholesale of live animals"
Mar 2021,4624,1,"Wholesale of hides, skins and leather"
Mar 2021,4631,76,"Wholesale of fruit and vegetables"
Mar 2021,4632,37,"Wholesale of meat and meat products"
Mar 2021,4633,15,"Wholesale of dairy products, eggs and edible oils and fats"
Mar 2021,4634,167,"Wholesale of beverages"
Mar 2021,4635,8,"Wholesale of tobacco products"
Mar 2021,4636,30,"Wholesale of sugar and chocolate and sugar confectionery"
Mar 2021,4637,60,"Wholesale of coffee, tea, cocoa and spices"
Mar 2021,4638,60,"Wholesale of other food, including fish, crustaceans and molluscs"
Mar 2021,4639,78,"Non-specialised wholesale of food, beverages and tobacco"
Mar 2021,4641,73,"Wholesale of textiles"
Mar 2021,4642,343,"Wholesale of clothing and footwear"
Mar 2021,4643,38,"Wholesale of electrical household appliances"
Mar 2021,4644,10,"Wholesale of china and glassware and cleaning materials"
Mar 2021,4645,175,"Wholesale of perfume and cosmetics"
Mar 2021,4646,41,"Wholesale of pharmaceutical goods"
Mar 2021,4647,74,"Wholesale of furniture, carpets and lighting equipment"
Mar 2021,4648,62,"Wholesale of watches and jewellery"
Mar 2021,4649,80,"Wholesale of other household goods"
